,album,review
39,Record of the Week: ABUSE OF SUBSTANCE Substance Abuse EP,"

Record of the Week: ABUSE OF SUBSTANCE Substance Abuse EP


Published  June 2, 2015 By Andrew Underwood


Categories

Reviews 


Holy fucking shit, this is like manna from heaven for dirt-dumb pogo punk fans. Edmonton’s ABUSE OF SUBSTANCE are ’90s drunk punk to the core, clearly influenced by Japanese masters like TOM & BOOT BOYS and DISCOCKS but closer in spirit and style to the Pogo Attack compilation bands. I’m talking the BRISTLES, I’m talking BANNER OF HOPE, and I’m definitely talking about the motherfucking CASUALTIES. The busy, melodic bass gives the sound a hint of early DEFIANCE as well. 1-2 drumming, 1-2 solos and great WRETCHED ONES gravel-and-whisky lead vocals round out the package. It’s not all for fun though — there is a definite edge to these dudes. Not sure if I’m entirely on board with their pro-violence “Punx Are Mean,” but hopefully that’s all bark and no bite, like the adorable bulldog featured in the back-cover band photo. I’d say “Don’t let the shitty pixelated cover fool you,” but that shitty pixelated cover is a pretty good indicator of the what’s contained herein. These punx don’t know about fuckin’ computers, they know about beer, shitty jobs and getting railed on whatever they can find and shove up their noses (plus, having a shitty pixelated cover is totally ’90s). If you have any, and I mean any kind of soft spot for ’90s street/drunk punk, you need this fucking record in your life.
(Obnoxio Drunk Punk)


"
40,Record of the Week: VLASTA POPIĆ Kvadrat CD,"

Record of the Week: VLASTA POPIĆ Kvadrat CD


Published  May 19, 2015 By MRR


Categories

Reviews 


Bass-heavy noise/proper indie rock and punk from Croatia. There’s lots of disjointed guitars vocals in Croatian which, like other Slavic languages, is a really great language for music. Loads of push-pull tempos, sharp guitar tones, and big strums the way it outta be — no snoozy Pitchfork-approved/trendy fest moves here — imagine a faster SHELLAC and maybe a less-spastic and way more interesting RODAN. On the other hand, VLASTA POPIĆ does some excellent straight up punker tunes like on “Slijepa Nasa [Mrznja],” as well as a sort of SONIC YOUTH-y style on “Mastanje.” The rest of the album gets slower for a few songs (but still captivating) and plays around with different vocals and structures. And lest I forget — the incredible “O vodi” gives off a real SCRAWL (Ohio) style. Very recommended!
(Moonlee Records)
—Justin Davisson


"
41,Record of the Week: LAST SONS OF KRYPTON Teenage Trash LP,"

Record of the Week: LAST SONS OF KRYPTON Teenage Trash LP


Published  May 12, 2015 By Mitch Cardwell


Categories

Reviews 



This band has managed to ride a glowing Tim Yo record review from nearly 20 years ago into the realm of near-legend. Surprisingly, that debut 7” is one I still count amongst my faves of the era, worthy of being mentioned alongside REATARDS, LOLI AND THE CHONES and EPILEPTIX when it comes to primitive, shitty-teenager punk rock. And Wisconsin’s LAST SONS OF KRYPTON may be the shittiest teenagers of them all—at least that’s the case this long-overdue LP is making. Every one of the twenty tunes collected here represents a life’s work for some true teenage fuck-ups, and the quality of the racket is generally higher than it has any real right to be. Their sensitivities and “worldview” couldn’t be any lower though, offering up some kind of perverse balance that keeps them punk boneheads until death. Whatever. A gang of insufferable, bratty and delinquent assholes making a racket outta sheer frustration and hatred of their lives and surroundings is always gonna be punker than shit, and LAST SONS OF KRYPTON fit that bill perfectly. True teenage assholery on display…waste no time in acquiring a copy of your own!
(Certified PR)


"
42,Record of the Week: GAY KISS Preservation Measures LP,"

Record of the Week: GAY KISS Preservation Measures LP


Published  May 5, 2015 By MRR


Categories

Reviews 



Filling out a hardcore full-length — at 33 rpm, no less—is one of the harder tasks in the challenging world of music, but after a 12” EP and a couple of 7”s GAY KISS have measured themselves up to the task. It helps if you’re a band that knows how to use the extra space, and GAY KISS are experts at twisting negative space in and out of time and tempo. The first track starts strong, rides out what sounds like a fade out of distant kick drum thump, then snaps back into a bedroom mosh-worthy breakdown. “Preservation Measures” is full of whiplash-inducing unpredictability and feverish guitar work, totally restless playing all over the frequency spectrum. Sometimes it sounds like the guitarist threw his instrument away in favor of a power drill or a dial-up modem hooked up to a Rat pedal. The strongest tracks here stretch out and use the empty space to let a riff unravel and implode before taking it somewhere else. “Relent,” for instance, lets a SACCHARINE TRUST-style riff collapse, cave in on itself and get back on its feet over and over again over a shifting set of fills. Fans of freaky hardcore bands in the game such as NASA SPACE UNIVERSE, the LOWEST FORM, and WHITE WARDS will find a lot to like here. Complete with some great cover artwork, another tremendously sick package from Sorry State.
(Sorry State)
—Eli Wald


"
43,Record of the Week: NATURE BOYS “Pissy Wind/Coast to Coast” 7″,"

Record of the Week: NATURE BOYS “Pissy Wind/Coast to Coast” 7″


Published  April 29, 2015 By Greg


Categories

Reviews 



I’ve said it before and I’ll say it again… NATURE BOYS are a band that people are not paying enough attention to now, but will miss when they’re gone. They combine equal parts of punk, hardcore, living on the fringes, hard living, DEAD MOON and their own inimitable style to make something that is their own. “Pissy Wind” is perfect. It’s a fast fucking song about the toxicity of surrounding yourself with people who are consumed by bad fucking vibes…or that’s what I took from it, at least. Two genders on the mic at all times. “Coast to Coast” on the flip side slows down (barely), a mid-tempo ode to dead friends (maybe???). It’s there to help you relive the pain of life or the inevitable return of something we’ve all felt, but have rarely given name to…sometimes known colloquially as “The Great Terribleness.” The bumbling of our stupid selves as we rocket through space on a dumb piece of rock. After releasing two LPs and one EP, NATURE BOYS have added new drummer Alex Moss on this record, which has tightened their whole mess up considerably. The whole band sounds more focused…concise even…and these two songs just aren’t enough for me, but I’ll wait patiently for the next few songs to trickle out of their dilapidated Kansas City homes.
(Replay)
— Greg Harvester

"
44,Reissue of the Week: SOBERANÍA PERSONAL Benditos Sean Muñecos Que Pegan LP,"

Reissue of the Week: SOBERANÍA PERSONAL Benditos Sean Muñecos Que Pegan LP


Published  April 27, 2015 By MRR


Categories

Reviews 



This impressive slice of underground music history was released on 200 tapes in Buenos Aires in 1988, never having enjoyed the vinyl format until now. I must say, definitely better late than never. Playing an early hardcore style that hasn’t forgotten its punk roots, SOBERANÍA PERSONAL is like the convergence of GRB and the BAGS. “En Verdad es una Gran Verdad,” on the other hand, is a haunting and slow punk-metal sermon with the reverb cranked up. The powerful and dynamic female vocals are really incredible on this record. At times the riffs recall DISCHARGE infused with enticing bass melodies such as in my favorite track so far, “Maskavidrio.” The influence of the irreverent snark of LA POLLA RECORDS is also well played and detectable through their cover of “Socios a la Fuerza” and their band name, which is derived from one of the legendary Spanish punk group’s verses. From the insert it’s evident that this band also ran in the same circles as their friends ATTAQUE 77. In fact, my second favorite song on the record, “Falsas Esperanzas,” is a cover of ATTAQUE 77’s parallel hardcore project DEFENSA Y JUSTICIA, which was already defunct at the time of recording this tape. The intelligent lyrics delve deep into the frustration, anger, and disenchantment that coming of age during the bloody Argentine military dictatorship would entail, paired with a searing indictment of machismo in “Supermacho.” Props to the Metadona label who also pressed the QLOAQA LETAL tape onto wax last year, saving both bands from the dustbin of punk history. So recommended!
(Metadona)
— Lena


"
45,Records of the Week: VATICAN DAGGER 7″ & RIXE 7″,"

Records of the Week: VATICAN DAGGER 7″ & RIXE 7″


Published  April 21, 2015 By MRR


Categories

Reviews 


VATICAN DAGGER – “Not to Be/The Mess” 7″
Kudos to VATICAN DAGGER for foisting their hate on us this early in the year. Birthed from Louisiana shit and boasting the always deadly Gary Wrong on guitar, VATICAN DAGGER take classic neg-vibe aggression and make it an earworm. It’s great to hear punk rock this dark and ugly imbed a hook in the listener… It just makes the pop camp look like bigger idiots. The first great punk record of 2015, I’d say.
(Total Punk)"
46,Record of the Week: KRONOFOGDEN Arbete och/eller Fritid LP,"

Record of the Week: KRONOFOGDEN Arbete och/eller Fritid LP


Published  April 14, 2015 By Ken Sanderson


Categories

Reviews 


The second full-length from Hudiksvall, Sweden’s KRONOFOGDEN (“Enforcement Officer”) shares some obvious DNA with the legendary bands from their hometown (members of MISSBRUKARNA even do guest a chorus on one track), but charges harder on a ramshackle USHC bent, with vocals quickly spat out over fourteen straightforward hardcore bursts. Sturdy, linear drumming propels the fuzzed-out gnarl of guitar distortion, as the angry vocals and shouted choruses in Swedish scrape the volume peaks of their slightly distorted recording. With enough elements stewing, this sturdy engine here stirs things up enough to keep it on edge like a noisier, more raw take on the best moments of DS-13 and ETA, and the second side has a few more crunchy downbeat moments that shadow some TOTALITÄR poundings. The title (which translates to “Work and/or Leisure”) reveals a good portion of the lyrics’ meanings, with English translations explaining how they questioning the Swedish relationship to work and employment, the cost of public transportation in traditionally poorer areas of their city, the closing of youth centers, and other local issues. Cover artwork is pen-and-ink scribble, somewhere between MAGGOT SANDWICH and MUNICIPAL WASTE, with assembly lines, robot cops, zombies and more. Also comes with a 16-page comic. Killer!
(Blindead Productions)


"
47,Record of the Week: SOLUTIONS Life of Joy 12″,"

Record of the Week: SOLUTIONS Life of Joy 12″


Published  April 7, 2015 By MRR


Categories

Reviews 



Absolutely relentless in approach, the SOLUTIONS record is fast, diverse and flawlessly executed. The music is textured with an unreal degree of precision and skill. With a foot firmly planted on the gas SOLUTIONS delivers an elite caliber of songwriting and musicianship that falls somewhere between the traditional rage of powerviolence and the mind-melting vision of progressive, melodic hardcore. Not unlike Buffalo’s GAS CHAMBER, with whom they share two members, the SOLUTIONS collection is a myriad of sounds pushing and playing off of each other only to combine for a galloping dive into a unified force of strength and rhythm, effectively rendering comparisons and genre assignments useless. Upping the ante rendered by the likes of the DEAD LANGUAGE or the crippling works of IRON LUNG, these boundary-pushing and genre-defining efforts have new company. Truly an impressive effort on this tragically short and criminally scarce release. Buy this record, tape this record, steal download codes, whatever it takes…hear this, because you haven’t heard it before.
(Iron Lung Records)
— Ryan Murphy


"
48,Record of the Week: BARCELONA Extremo Nihilismo 12″,"

Record of the Week: BARCELONA Extremo Nihilismo 12″


Published  March 31, 2015 By MRR


Categories

Reviews 


Several things set BARCELONA apart from any prospective peers. First and foremost, the powerful vocals from the singer of FIRMEZA 10, with some of the most biting, bilious and determined lyrics in recent memory. Meanwhile the drums circle around conventional hardcore, never quite settling into anything comfortable, coming across more often as a struggle than a direct assault. “Bomba,” for instance, plays for about fifteen seconds of a short and vicious song before sliding into a solid minute of despair. It might only be sixty seconds long, but in this context it acts as a lengthy statement: hypnotic, plodding rhythms undergird a wailing guitar expounding confused exasperation. This whole record feels like the cover artwork. Anxiety looms over each song (no subtlety or surprise as the album opens with “Ansiedad”), but so does anger—as esoteric as it is savage. Extremo Nihilismo is the defiant sum of its parts and its history: there is no mistaking this record as anything but the culmination of the best and most intriguing aspects of recent Spanish punk and hardcore. All in barely eleven minutes.
(La Vida Es Un Mus)
—review by Shit Zoo, from MRR #384


"
49,Record of the Week: DAVIDIANS Night Terrors/Gimme All Yo Dope 45,"

Record of the Week: DAVIDIANS Night Terrors/Gimme All Yo Dope 45


Published  March 24, 2015 By MRR


Categories

Reviews 



These are some freaky-ass tracks right here. From the label that brought you WHATEVER BRAINS and BRAIN FLANNEL (and a host of other outta this galaxy shit) comes the DAVIDIANS single. When the needle dropped and those groovy, angular bass licks kicked in I was mesmerized. Straight up, a sound that would make GANG OF FOUR blush (then curse for not doin’ it in ’79). The vocalist is the epitome of the snotty frontman. Dude is all nasal. Sounds like he hasn’t blown his nose in a month. And while this dude is screamin’, the guitar is pretty much doin’ its own thing. At points they meet up and play together but really, I feel like both stringed instruments are reading off entirely different music sheets. I feel like these folks get some of their cues from the more angular post punk acts like PIL or the freakier WIRE tracks, but with way more of a focus on speed and obnoxious delivery. I had to listen to this record a couple of times to get some sort of hold on it, and I’m not sure I even got it. I just know this record is great. Very stoked to listen and re-listen. Buy buy buy! For fans of: Staring directly into the sun, adventures in abandoned mine shafts, and skipping prom.
(Sorry State)
— Max Wickham


"
50,Reissue of the Week: PINK SECTION LP,"

Reissue of the Week: PINK SECTION LP


Published  March 21, 2015 By Layla


Categories

Reviews 



This is a beautiful reissue. It sounds and looks amazing, the band pix are so cool — especially the photo of Carol and Judy posing in front of the Tropicana — and will make you wanna change your style immediately. The all-neon-pink sleeve (including the inside) is such a sick touch! This includes all the available PINK SECTION tracks, including their live tracks from the Deaf Club, their 45 and 12”, and a couple of amazing demos. Named after the arts and entertainment supplement of the San Francisco Chronicle, PINK SECTION shared members with the untouchable INFLATABLE BOY CLAMS, and lived in North Beach when you could find a three-bedroom apartment for $250 total… I read an interview with them where they talked about only needing to work one day a week to make their rent! The thought of that possibility makes a modern punk shudder, endless tragedies in the face of the end of San Francisco (or pretty much any city you can name that was cool in other more magical eras at this point in time). These are total surreal SF sounds with shattered manic new wave flourishes, true art punk in the best sense of the concept. So many ideas crammed into each frantic song, the lyrics are especially ironic and hilarious, cutting and sharp witted, taking down the decadent rich hippies that decamped to Marin when things got harsh, the involuntary demands of consumer culture, and militant chic while retaining a flip throwaway pop art affect. I guess the closest comparison band would be SUBURBAN LAWNS, except I don’t hate it when the guys sing…This record is a cut-up, a total up-all-night dance party with sick keyboards, shards of guitars, and the coolest male/female vocals, deconstructing new wave and the truth.
(Superior Viaduct)


"
51,Record of the Week: MÖRKHIMMEL Ostří Černé Kosy Zní LP,"

Record of the Week: MÖRKHIMMEL Ostří Černé Kosy Zní LP


Published  March 17, 2015 By MRR


Categories

Reviews 



Tormented and pummeling crust metal from Prague. None more heavy with landscape-leveling chords, and unscrupulously dark themes that churn within howling and gravely vocal tones. MÖRKHIMMEL has the metallic mid-tempo of AMEBIX and GUILLONTINE TERROR or contemporaries SCOLEX, with the skull-crushing machine vibe of PESD, and KILLING JOKE. All the while this LP remains HELLHAMMER-ing old school and DISGUST-ingly punk. MÖRKHIMMEL share members with a slew of bands from BETON and GUIDED CRADLE to HELLSHOCK. I feel lucky to be reviewing this because it is a fucking awesome LP. Ugly as shit, brooding, and thrashing. The artwork is genius: the body of what I would guess is a heron on the back of the gatefold, wrapping to the front, where the head becomes a gruesome, corroded, reaped-to-hell scythe. This will certainly be on rotation. Very impressed.
(Insane Society)

—Jason Ryan

"
52,Record of the Week: MYSTERY DATE New Noir LP,"

Record of the Week: MYSTERY DATE New Noir LP


Published  March 10, 2015 By MRR


Categories

Reviews 



MYSTERY DATE put out a 7” a while back that blew my socks off. Can this possibly live up to the anticipation I’ve developed? The answer is “yes.” This is a great record. Like, this is Top 10 of 2015 material. This is pop music. And it’s punk and it’s new wave. It’s strangely catchy and poppy, while also a little bit eerie and dark. And this is going to sound a little corny, but it’s delivered with an honesty and sincerity and sense of urgency that can’t be faked. These guys clearly believe in what they’re doing. I’m not sure why, but I’m reminded of other Midwest greats like the REPLACEMENTS and the EMBARRASSMENT. You owe it to yourself to find this one.
(Piñata Records)
— Kenny Kaos


"
53,Record of the Week: SIERPIEN Zawsze Nasze LP,"

Record of the Week: SIERPIEN Zawsze Nasze LP


Published  February 24, 2015 By Will Blomquist


Categories

Reviews 


Wow, this is such a gem, already a record-of-the-year contender for me and it’s still only spring! Moscow’s SIERPIEN may have recorded this album last year, but it could easily pass for a top-of-the-class recording from 1982, blending and transcending a slew of influences like CRISIS, SIKIERA and the MOB in their quintessentially Eastern European take on dark punk. A studio-only two-piece masquerading as a power trio, the proceedings here are consistently anthemic as all hell; usually cold and yearning, occasionally funky and danceable, and, on songs like “New Middle Ages,” approximating a more anarcho SAD LOVERS AND GIANTS. I could blather on forever—it really is impossible to capture a perfect record in mere words—but trust me when I say this is not the kind of thing you can afford to miss. Simply genius.
(Mass Media)


"
54,Record of the Week: DEMOLITION Bombenhagel CD,"

Record of the Week: DEMOLITION Bombenhagel CD


Published  February 17, 2015 By Robert


Categories

Reviews 



Holy shit!!! This is the very definition of a juggernaut! Based on their legacy, the fact that DEMOLITION delivers an incredibly powerful record comes as no surprise…but from the mostly instrumental intro track they drop severe tonnage on Bombenhagel, and the intensity skyrockets from there. The base here is fist-in-the-air anthemic Japanese hardcore but there are overt NYHC elements that fall just short of beatdown breakdowns, and their integration of ’80s heavy fucking metal into the mix is both shameless and brilliant. Even on mid-tempo plodders like “Hail Satan” (which is really little more than a Sunset Strip banger with VENOM vocals) the foot never leaves your throat. A seriously incredible release, taking punks’ flirtations with metal and launching them beyond simple MOTÖRHEAD worship (which is easy), injecting the hooks into jaw dropping Japanese hardcore. The bar just got a little higher, metalpunks—now you’ve got something else to strive for. And again: Holy shit!!
(MCR Company)

"
55,Record of the Week: NEIGHBORHOOD BRATS Recovery LP,"

Record of the Week: NEIGHBORHOOD BRATS Recovery LP


Published  February 10, 2015 By MRR


Categories

Reviews 


I’ve been lucky enough to see the NEIGHBORHOOD BRATS a handful of times as well as play a show with them, which is fortunate because as of this writing they announced that they are no longer. R.I.P. NEIGHBORHOOD BRATS. Recovery is a great album to close on — solid fucking punk. The first three tracks “Year of the Brat,” “Boys for 20 Years” and “Complete Mess” are by far the stand-outs, and those songs alone are worth buying this LP for. Other highlights include “Painted and Gutted,” which has a catchy as fuck retro ’80s punk brainworm melody, and the closer, “The Pharmacy Is Closer Than the Liquor Store,” a definite ripper. “Escape the City” is a menacing surf instrumental that serves as almost an intermission, a deep breath before getting back to business. Jenny Angelillo’s vocals are controlled throughout — she only really screams it out in “50 Shades of Fuck You.” The grip of her voice around each melody shows she’s in control. The engine which propels each song is George Rager’s guitar work, an incredibly catchy, fast and furious surf guitar with riff after sweet riff, never out of step, completely calculated, but never obvious in the least. Shit. Is. Tight. Their sound can be best summed up as a mix of NIGHT BIRDS, ADOLESCENTS, and WIPERS, with a cleaner and more modern take on ’80s punk. Damn shame it’s their last release. Highly recommended.
(Deranged)
— Camylle Reynolds


"
56,Record of the Week: DRIBBLE Lovers 7″,"

Record of the Week: DRIBBLE Lovers 7″


Published  February 3, 2015 By MRR


Categories

Reviews 



The first pleasant surprise of 2015 came to me all the way from Melbourne, Australia, thanks to this 7″ EP from DRIBBLE. Everything from this band’s name to their art direction — not to mention their provenance via Cool Death and Distort Records — would indicate whiplash-inducing, noisy hardcore slime along the lines of that last VELVET WHIP tape. I’d already cleared all my things off of my desk at my old apartment to avoid knocking anything over due to involuntary thrashing when I dropped the needle onto a riff that sounds like it could have come out of the LORDS OF THE NEW CHURCH songbook. A different sort of greasy vibe than the one I was expecting, but a nonetheless appropriate soundtrack to some post/romantic lyrical meditations on obsession, masochism, and wandering through the city streets. Over the course of my own daily meandering online I turned up a flyer for a bill the group shared with LOW LIFE, which sounds like a well-matched lineup of Down Under down-and-outers exploring the dark depths of performing urban masculinity through fuzz and chorus effects. The B-side takes a slightly slower VOIDOIDS-esque trudge into the same streets as they empty out, save for the obsessive wanderers and nihilist observers. We also have one last drugstore cowboy song on this one, riding the same chord progression and arrangement as the last two tunes all the way into the sunset of this short but sweet record. These are streets we’ve walked before, but a lot like a close friend of yours who tells you the same two or three jokes over and over again, it might just grow on you. The labels responsible have assembled a handsome and elegant package here with a sixpanel 14″ x 21″ poster insert and lyric sheet. Naturally, looks like this one is already sold out. If I were to win a wager on the 50-50 chance between some new recordings getting dribbled out and the band going out in a blaze of ignoble glory, I’d put my winnings towards that next 7″. (Cool Death / Distort)
— Eli Wald

"
57,Record of the Week: CRIME DESIRE Your Power LP,"

Record of the Week: CRIME DESIRE Your Power LP


Published  January 27, 2015 By Andrew Underwood


Categories

Reviews 



Over the past ten years or so, these San Diego punks have built up quite a solid discography, but I can’t think of another recording of theirs that has had such an immediate and visceral impact. From the timeless opening mosh riff/“Yeeeaaaaaah” to the subtly tweaked recording to the raging solos and rock-solid rhythm section this is the work of a band that’s firing on all fucking cylinders. The snarled vocals and metallic touches betray quite a bit of SEPTIC DEATH influence (a comparison I don’t make lightly) but the backbone is rooted in the straightforward drive of ’80s East Coast hardcore à la SSD or ANTIDOTE. The churning title track starts out with a gloomy almost SAMHAIN vibe that stands out from the rest of the record while still fitting in beautifully, building into a chaotic wail that ends the album with a rush of energy. If CRIME DESIRE wasn’t on your radar before then they damn sure should be now. Great stuff!
(Standards)


"
58,Record of the Week: YOUNG CONSERVATIVES 12”,"

Record of the Week: YOUNG CONSERVATIVES 12”


Published  January 13, 2015 By Allan McNaughton


Categories

Reviews 


Interesting debut EP here from this band made up of 1990s UK punk/hardcore vets. YOUNG CONSERVATIVES comes out of the gate wearing their politics on their sleeves, but it’s not trite or clichéd political hardcore. These are the angry ruminations of disillusioned older punks. Like many of us, they find it hard to be optimistic about the political future despite the small positive gains that have been made. The backdrop to the disenchantment takes the form of six tracks of somewhat melodic, yet heavy, mid-paced hardcore. It’s an enjoyable maelstrom of LEATHERFACE, ROLLINS BAND, DAG NASTY, and FUCKED UP. The FUCKED UP comparison is most strongly felt in the vocal delivery, mainly because the vocals take the form of hoarsely shouted complicated political diatribes, rather than the more tuneful singing you get with the likes of DAG NASTY or even LEATHERFACE. Great stuff, I look forward to hearing more.
(Obscene Baby Auction)


"
59,Record of the Week: BOSTON STRANGLER Fire LP,"

Record of the Week: BOSTON STRANGLER Fire LP


Published  January 6, 2015 By Justin Briggs


Categories

Reviews 



Right out of the gate, Fire just feels like a more mature BOSTON STRANGLER. The difference seems to be that where Primitive was more of a genre exercise or homage to their Boston hardcore forefathers — albeit the best example I have ever heard (and a perfect record) — Fire shows “the STRANGLAH ‘finding’ their own sound.” Still present are the noticeably-Boston steamrolling riffs, but more “punk” influence has stepped up its role, mostly in the form of bass hooks, vocal melodies and guitar leads, which are most obvious on tracks like “Forward into Hell” and “Broken Spirit” and in the outro of “Slow Burn.” I can’t tell you how many times a day those choruses or leads pop into my head. The difference is definitely subtle, because this is very obviously the same frustration-spitting cobra backed by a sonic wrecking crew armed with the power of a major metropolitan DPW crew laying down the best cold-weather hardcore on the planet, making you feel just as bad about yourself as you do about the trash around you, with just as much misplaced youthful anger as real world adult problems staring you in the face. In my eyes, Fire is BOSTON STRANGLER’s best effort and a more singular record. Fantastic.
(Fun With Smack)


"
60,Reissue of the Week: ALIANS Gavroche LP,"

Reissue of the Week: ALIANS Gavroche LP


Published  January 2, 2015 By Ken Sanderson


Categories

Reviews 


Named after the street urchin child of Victor Hugo’s Les Misérables, Gavroche was a cassette-only LP originally released in 1994 by ALIANS (Alliance), a prolific Polish band from the early ’90s which blended the classic, upbeat mid-tempos of Polish hardcore punk with rhythmic doses of reggae and ska and additional folksy instrumentation on accordion, congas, flute and keyboards. A classic recording of this then-trendy style, the experimental and adaptive edge of both the musicianship here and Polish punk itself steers it away from the train wreck suggested on paper. Robotic staccato vocals dart between rushing 1-2 charges of straightforward hardcore before breaking into a passage of dub or the accordion player jumps into the fray. There’s something that always seems incredibly inauthentic and, uh, “highlander” when bands from the US try this kind of folksy avant-garde punk but it’s hard to find deep fault with a band from Poland, where punk seems to both be more flexible in its expression and a broader extension of deep roots in a long lineage of community. Reaching for instruments of the past doesn’t seem that out of line (there’s even a flute and dub riffing off of the CLASH’s “Guns of Brixton”). I don’t always find the additional instrumentation completely seamless—in fact, it is occasionally tentative and stumbling—but this record still remains a challenging and interesting listen 20 years after its initial release, and is recommended for the open-minded who’ve ticked off their APATIA, ARMIA, and POST REGIMENT boxes, as the chassis of this still rests on similar, solid, classic songwriting. Anthemic punk with lyrics entirely in Polish with no translation, the entire original cassette release is encompassed in this first-time-on-vinyl reissue, along with a few of the additional tracks from its ’90s and ’00s subsequent reissues on CD and extended cassette.
(Pasazer / THC / Underground Factory)

"
61,Record of the Week: DESTRUYE Y HUYE Oscura Sociedad EP,"

Record of the Week: DESTRUYE Y HUYE Oscura Sociedad EP


Published  December 30, 2014 By Layla


Categories

Reviews 



I loved this band’s demo, so I was psyched to see this EP in the review pile. Hits somewhere between FERTIL MISERIA and the NURSE! Tough and vicious — the totally sick, blown-out guitars, commandeering vocals, and rumbling, threatening rhythm section all conspire to sound like they’re gonna fall apart, but really, they know exactly what they are doing and it’s a savage punk attack destined to mutate minds everywhere. DESTRUYE Y HUYE‘s lyrics are dark and reflect an alienated existence, a GREG SAGE meets ESKORBUTO reality. The music is crude and primitive; it all reflects the existential reality of modern life. Angee’s vocals are so raging and cool, so charismatic, they totally take it over the top. I hope these women tour the West Coast ASAP! The insert has a cool, almost poster quality to it, really iconic and classic punk looking.
(Verdugo Discos)

"
62,"Record of the Week: NO SIR, I WON’T Shit 12″","

Record of the Week: NO SIR, I WON’T Shit 12″


Published  December 23, 2014 By Matt Badenhop


Categories

Reviews 



No modern band could possibly carry on the musical tradition of bands like CRASS and ALTERNATIVE like NO SIR, I WON’T. When bands simply fill out popular punk templates it’s boring. That’s kinda what NO SIR, I WON’T is doing, but it’s really cool and interesting; definitely not boring. Their craft is innovative and provoking while recalling moments of the classics. They have specific things they want to say, and they do it vehemently and effectively: poetic, but easy to digest and analyze. Every statement is bold and delivered cleverly. Each chord progression, break, and rhythmic change is compelling. They won me over on the split with AUTONOMY that came out a few months ago, but this EP is even better! Feeling proud to be a punk right now.
(Drunken Sailor)


"
63,Record of the Week: CADAVER EM TRANSE LP,"

Record of the Week: CADAVER EM TRANSE LP


Published  December 16, 2014 By MRR


Categories

Reviews 



Based in São Paulo and featuring members of RAKTA and SPEED KILLS, this is a refreshing take on goth-inspired post-punk that escapes some of the vampirical trappings that tend to mark this style. I’m reminded of CHRISTIAN DEATH, but with the driving quality of KILLING JOKE. The vocals, however, sung both in English and Portuguese, are unmistakably and aggressively punk. For me, there is a certain musicality characterizing Brazilian Portuguese punk vocals and I can’t help but compare the singing here a bit to CÓLERA. My favorite track thus far is “Inverted,” where the infectious guitar lead woven through the whole length of the song strikes a delicate balance between chorus-tinged goth and the delightful jangle of surf punk. The rhythm is quite varied and takes the listener on a journey through hammering beats and slower, more experimental percussion. Everything comes together with groovy bass lines and intriguing soundscapes/effects: totally multidimensional and awesome. The record is well packaged too, featuring an insert with all the lyrics and some incredible artwork.
(Dama Da Noite/Nada Nada Discos)
—Lena T, MRR #380


"
